age,gender,senior_citizen,has_partner,has_dependents,tenure_months,contract_type,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,monthly_charges,total_charges,data_usage_gb,num_tech_tickets,num_admin_tickets,satisfaction_score,num_services,avg_monthly_spend,charge_per_service,is_high_value,tenure_group,ticket_total,has_any_ticket,charge_x_tenure,low_satisfaction
47,Female,0,1,1,41,One Year,1,No,DSL,No,Yes,No,No,No,No,0,Mailed Check,57.35,2326.29,7.63,3,1,4.4,2,56.738780487804874,28.675,57.35,25-48 mo,4,1,2351.35,0
35,Female,0,0,0,8,One Year,1,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,1,Credit Card,100.57,827.08,33.75,1,0,1.3,4,103.385,25.1425,100.57,0-12 mo,1,1,804.56,1
27,Female,0,1,0,9,Two Year,0,No Phone,Fiber Optic,No,No,No,Yes,No,Yes,0,Electronic Check,55.3,503.13,33.77,0,0,4.2,2,55.903333333333336,27.65,55.3,0-12 mo,0,0,497.7,0
44,Male,0,0,0,23,Month-to-Month,1,Yes,DSL,No,No,No,No,Yes,No,1,Mailed Check,76.23,1748.71,37.76,0,0,4.1,2,76.03086956521739,38.115,76.23,13-24 mo,0,0,1753.2900000000002,0
44,Male,0,0,0,57,Two Year,1,No,DSL,No,No,No,No,No,Yes,1,Electronic Check,55.89,3177.89,18.12,2,2,1.8,2,55.75245614035087,27.945,55.89,49+ mo,4,1,3185.73,1
47,Male,0,1,0,34,One Year,1,No,Fiber Optic,No,No,No,No,No,Yes,0,Bank Transfer,87.32,2985.5,7.48,1,2,1.4,2,87.80882352941177,43.66,87.32,25-48 mo,3,1,2968.8799999999997,1
44,Male,0,1,1,39,One Year,1,No,Fiber Optic,No,Yes,No,No,Yes,Yes,1,Mailed Check,102.41,3992.14,5.87,1,0,4.1,4,102.3625641025641,25.6025,102.41,25-48 mo,1,1,3993.99,0
46,Male,0,1,1,3,One Year,0,No Phone,DSL,Yes,Yes,Yes,Yes,No,Yes,0,Credit Card,60.67,163.39,19.79,1,1,2.2,5,54.46333333333333,12.134,60.67,0-12 mo,2,1,182.01,1
22,Male,0,0,0,13,One Year,0,No Phone,Fiber Optic,Yes,No,No,No,No,Yes,1,Bank Transfer,75.85,971.92,52.97,2,0,2.8,2,74.76307692307692,37.925,75.85,13-24 mo,2,1,986.05,1
26,Male,0,0,0,3,Month-to-Month,1,Yes,Fiber Optic,No,No,No,No,No,Yes,0,Credit Card,83.37,272.34,12.64,0,0,5.0,2,90.77999999999999,41.685,83.37,0-12 mo,0,0,250.11,0
32,Female,0,1,0,23,Two Year,1,Yes,DSL,No,No,No,No,Yes,Yes,0,Credit Card,62.78,1481.77,50.93,2,2,2.9,3,64.42478260869565,20.926666666666666,62.78,13-24 mo,4,1,1443.94,1
