customer_id,age,gender,senior_citizen,has_partner,has_dependents,tenure_months,contract_type,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,monthly_charges,total_charges,data_usage_gb,num_tech_tickets,num_admin_tickets,satisfaction_score,churn
CUST000001,48,Female,0,0,0,1,Month-to-Month,1,Yes,Fiber Optic,No,No,No,Yes,No,No,1,Mailed Check,83.11,,8.99,0,1,2.7,1
CUST000002,40,Male,0,1,1,8,Two Year,1,Yes,DSL,No,No,No,No,No,Yes,1,Electronic Check,68.34,536.64,22.34,1,2,3.4,0
CUST000003,51,Female,0,1,1,7,Month-to-Month,1,No,DSL,No,No,No,No,No,No,1,Mailed Check,38.63,272.25,28.47,5,0,2.7,1
CUST000004,63,Male,1,1,1,66,Two Year,0,No Phone,Fiber Optic,No,No,No,No,Yes,Yes,0,Electronic Check,62.27,4123.08,25.7,1,0,3.7,0
CUST000005,38,Female,0,1,1,31,Month-to-Month,1,Yes,DSL,No,Yes,No,Yes,Yes,Yes,1,Credit Card,76.69,2374.89,4.95,0,1,5.0,0
CUST000006,38,Male,0,0,0,7,One Year,0,No Phone,Fiber Optic,No,Yes,Yes,Yes,Yes,No,1,Credit Card,77.66,552.53,12.95,0,0,3.5,0
CUST000007,64,Female,1,1,1,72,Month-to-Month,0,No Phone,Fiber Optic,No,Yes,Yes,No,No,No,1,Mailed Check,76.3,5493.599999999999,5.81,0,0,2.6,1
CUST000008,52,Female,0,1,1,8,Month-to-Month,1,Yes,DSL,Yes,No,No,No,No,Yes,1,Credit Card,75.53,614.5,23.73,1,0,4.3,1
CUST000009,35,Male,0,0,1,32,Two Year,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Electronic Check,31.19,984.31,0.0,3,1,2.6,0
CUST000010,49,Male,0,0,0,18,Two Year,1,No,Fiber Optic,No,No,No,No,No,No,1,Bank Transfer,67.33,1225.78,72.49,0,2,3.3,0
CUST000011,35,Male,0,1,0,3,One Year,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Credit Card,27.13,96.79,0.0,1,0,3.9,0
CUST000012,35,Female,0,0,0,41,Two Year,1,Yes,DSL,No,No,No,Yes,Yes,Yes,1,Mailed Check,66.08,2691.04,34.22,3,0,3.6,0
CUST000013,45,Female,0,0,0,11,One Year,1,No,Fiber Optic,No,Yes,No,Yes,No,No,1,Electronic Check,76.24,848.39,2.33,1,1,3.4,0
CUST000014,18,Female,0,1,1,13,Month-to-Month,1,No,DSL,No,No,Yes,Yes,Yes,Yes,1,Mailed Check,77.74,1055.74,57.1,2,0,3.7,0
CUST000015,18,Male,0,1,1,7,Two Year,1,No,Fiber Optic,No,No,No,No,Yes,No,1,Credit Card,75.51,488.44,56.32,1,1,3.9,1
CUST000016,34,Male,0,1,0,48,Month-to-Month,1,No,DSL,No,Yes,No,Yes,No,No,0,Bank Transfer,64.64,3094.31,10.91,3,1,5.0,0
CUST000017,27,Male,0,1,1,5,Two Year,1,Yes,DSL,No,Yes,Yes,No,No,No,1,Mailed Check,70.16,342.72,24.59,2,2,3.9,0
CUST000018,46,Female,0,1,1,7,Month-to-Month,1,No,DSL,No,No,Yes,Yes,No,No,1,Bank Transfer,56.1,367.15,4.57,1,0,4.2,0
CUST000019,29,Female,0,1,0,15,One Year,0,No Phone,Fiber Optic,Yes,No,No,Yes,Yes,Yes,0,Electronic Check,78.54,1203.47,25.23,1,0,4.5,1
CUST000020,22,Male,0,0,1,4,One Year,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Bank Transfer,39.6,166.95,0.0,0,0,3.4,0
