Feature,Mean |SHAP|,Direction
cat__contract_type_Month-to-Month,0.6198,↓ Decreases churn
num__tenure_months,0.5606,↓ Decreases churn
num__satisfaction_score,0.351,↓ Decreases churn
cat__internet_service_Fiber Optic,0.2431,↓ Decreases churn
num__num_tech_tickets,0.1744,↓ Decreases churn
num__avg_monthly_spend,0.12,↓ Decreases churn
num__monthly_charges,0.1087,↓ Decreases churn
cat__tech_support_No,0.0921,↓ Decreases churn
num__age,0.0917,↓ Decreases churn
cat__payment_method_Electronic Check,0.0874,↓ Decreases churn
num__charge_x_tenure,0.0519,↓ Decreases churn
cat__online_security_No,0.0504,↓ Decreases churn
num__charge_per_service,0.0471,↓ Decreases churn
num__ticket_total,0.0443,↓ Decreases churn
cat__tech_support_Yes,0.0442,↑ Increases churn
num__total_charges,0.042,↓ Decreases churn
cat__online_security_Yes,0.0409,↓ Decreases churn
num__low_satisfaction,0.0384,↓ Decreases churn
num__data_usage_gb,0.0243,↓ Decreases churn
cat__contract_type_Two Year,0.0229,↓ Decreases churn
