threshold,f1,precision,recall
0.1,0.4705,0.3085,0.9901
0.11,0.4755,0.3131,0.9881
0.12,0.4803,0.3175,0.9858
0.13,0.4846,0.3216,0.9824
0.14,0.4903,0.327,0.9799
0.15,0.4948,0.3312,0.977
0.16,0.4993,0.3356,0.9748
0.17,0.5051,0.3412,0.9723
0.18,0.5096,0.3457,0.9689
0.19,0.5132,0.3499,0.9624
0.2,0.5183,0.355,0.9592
0.21,0.5216,0.3589,0.9545
0.22,0.5261,0.3636,0.9509
0.23,0.5301,0.3681,0.9468
0.24,0.5352,0.3735,0.9437
0.25,0.5381,0.3773,0.9378
0.26,0.5411,0.3813,0.932
0.27,0.5453,0.3861,0.9281
0.28,0.55,0.3915,0.9238
0.29,0.5537,0.3965,0.9175
0.3,0.5583,0.402,0.9135
0.31,0.5602,0.4057,0.9047
0.32,0.5636,0.4105,0.8988
0.33,0.5664,0.4149,0.8923
0.34,0.5696,0.4198,0.8858
0.35,0.5734,0.4249,0.8817
0.36,0.5737,0.4275,0.8716
0.37,0.5766,0.4327,0.8639
0.38,0.5788,0.4371,0.8562
0.39,0.5788,0.4402,0.8447
0.4,0.5802,0.4444,0.8355
0.41,0.5832,0.45,0.8285
0.42,0.5855,0.4553,0.8197
0.43,0.5884,0.4613,0.8123
0.44,0.5897,0.4659,0.8033
0.45,0.5918,0.4715,0.7945
0.46,0.5928,0.4774,0.7817
0.47,0.5934,0.4818,0.7722
0.48,0.5954,0.4882,0.7627
0.49,0.5978,0.4951,0.7542
0.5,0.5994,0.5014,0.7452
0.51,0.6003,0.5075,0.7346
0.52,0.5999,0.5134,0.7215
0.53,0.6015,0.5211,0.7111
0.54,0.603,0.5278,0.703
0.55,0.6016,0.5333,0.6902
0.56,0.6017,0.5395,0.68
0.57,0.5993,0.5436,0.6679
0.58,0.5998,0.5509,0.6582
0.59,0.5978,0.5573,0.6447
0.6,0.5966,0.5662,0.6305
0.61,0.5939,0.5723,0.6172
0.62,0.5901,0.5762,0.6046
0.63,0.5856,0.5831,0.5881
0.64,0.5818,0.5904,0.5735
0.65,0.5805,0.5997,0.5624
0.66,0.5741,0.6064,0.5451
0.67,0.5693,0.6161,0.5291
0.68,0.5606,0.6211,0.5108
0.69,0.5544,0.6326,0.4935
0.7,0.5437,0.6377,0.4739
0.71,0.5342,0.6446,0.4561
0.72,0.5212,0.6489,0.4356
0.73,0.5112,0.6552,0.4191
0.74,0.5004,0.6625,0.402
0.75,0.4858,0.666,0.3824
0.76,0.4747,0.6755,0.3659
0.77,0.459,0.6867,0.3447
0.78,0.4416,0.693,0.324
0.79,0.4232,0.7035,0.3026
0.8,0.4035,0.7071,0.2823
0.81,0.3866,0.7192,0.2643
0.82,0.3664,0.7311,0.2445
0.83,0.3446,0.7391,0.2247
0.84,0.3244,0.7518,0.2068
0.85,0.3015,0.7663,0.1877
0.86,0.2744,0.7703,0.167
0.87,0.2492,0.7932,0.1478
0.88,0.2213,0.7983,0.1284
0.89,0.1916,0.8128,0.1086
0.9,0.1607,0.8246,0.089
